Mode,BatchSize,Total_Time(s),Write_Time(s),Throughput(task/s),MaxBuffer(MB)
hdf5,64,1061.778817,811.396370,941.815738,0.003906
hdf5,128,1054.759981,792.061051,948.082998,0.007812
hdf5,256,1047.393754,808.708631,954.750778,0.015625
hdf5,512,1047.003322,807.722290,955.106813,0.031250
hdf5,1024,1028.810065,817.206944,971.996714,0.062500
hdf5,2048,1028.064435,804.220849,972.701677,0.125000
hdf5,4096,1008.203817,782.868245,991.862942,0.250000
hdf5,8192,977.864328,794.784530,1022.636752,0.500000
hdf5,16384,946.989461,806.645227,1055.977968,1.000000
hdf5,32768,870.663577,819.441757,1148.549262,2.000000
hdf5,65536,794.490805,775.367391,1258.667809,4.000000
multifile,64,744.064303,744.062459,1349.321546,0.000000
multifile,128,785.790014,785.788587,1272.604617,0.000000
multifile,256,800.321561,800.320300,1370.470916,0.000000
multifile,512,809.654031,809.653227,1332.208251,0.000000
multifile,1024,807.357812,807.357123,1371.904417,0.000000
multifile,2048,784.311044,784.310458,1316.324704,0.000000
multifile,4096,763.887453,763.886688,1345.687935,0.000000
multifile,8192,768.864728,768.864044,1440.445943,0.000000
multifile,16384,758.502314,758.500990,1318.387540,0.000000
multifile,32768,794.982246,794.980154,1257.889726,0.000000
multifile,65536,771.369938,771.366283,1462.254633,0.000000
